Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
01/11/2021;20:00;0,49;0,3;10;76;60;Bueno / Ona;5,5;Muy bueno / Oso ona;3,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
01/11/2021;19:00;0,45;0,27;7;63;52;Bueno / Ona;5,29;Muy bueno / Oso ona;3,92;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Bueno / Ona
01/11/2021;18:00;0,42;0,26;6;40;31;Muy bueno / Oso ona;5,13;Muy bueno / Oso ona;3,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;17:00;0,32;0,25;2;17;14;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;3,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;16:00;0,26;0,24;3;14;9;Muy bueno / Oso ona;4,71;Muy bueno / Oso ona;4,04;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;15:00;0,16;0,25;2;8;5;Muy bueno / Oso ona;4,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;14:00;0,21;0,26;3;11;6;Muy bueno / Oso ona;4,88;Muy bueno / Oso ona;3,92;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;13:00;0,25;0,27;4;15;9;Muy bueno / Oso ona;4,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;12:00;0,28;0,26;3;12;7;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;4,04;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;11:00;0,29;0,26;6;20;10;Muy bueno / Oso ona;4,54;Muy bueno / Oso ona;3,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;10:00;0,3;0,26;4;14;8;Muy bueno / Oso ona;4,42;Muy bueno / Oso ona;3,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;09:00;0,28;0,26;3;14;9;Muy bueno / Oso ona;4,29;Muy bueno / Oso ona;3,92;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;08:00;0,25;0,26;4;21;14;Muy bueno / Oso ona;4,38;Muy bueno / Oso ona;4;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;07:00;0,27;0,26;8;33;20;Muy bueno / Oso ona;4,46;Muy bueno / Oso ona;4,13;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;06:00;0,25;0,26;1;8;6;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;4,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;05:00;0,24;0,27;1;5;3;Muy bueno / Oso ona;4,63;Muy bueno / Oso ona;4,29;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;04:00;0,26;0,28;1;5;3;Muy bueno / Oso ona;4,79;Muy bueno / Oso ona;4,46;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;03:00;0,26;0,29;1;5;3;Muy bueno / Oso ona;4,79;Muy bueno / Oso ona;4,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;02:00;0,26;0,3;2;10;6;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;4,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
01/11/2021;01:00;0,27;0,31;2;8;6;Muy bueno / Oso ona;5;Muy bueno / Oso ona;4,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;24:00;0,28;0,32;4;15;9;Muy bueno / Oso ona;5,08;Muy bueno / Oso ona;4;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;23:00;0,3;0,32;2;10;8;Muy bueno / Oso ona;5,33;Muy bueno / Oso ona;4,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;22:00;0,3;0,33;2;15;12;Muy bueno / Oso ona;5,5;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;21:00;0,29;0,33;5;21;14;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;20:00;0,35;0,33;5;25;17;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;5,29;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;19:00;0,33;0,33;5;20;12;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;18:00;0,32;0,33;6;22;13;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;17:00;0,33;0,33;5;23;15;Muy bueno / Oso ona;7,58;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;16:00;0,33;0,32;4;15;9;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;15:00;0,33;0,32;2;9;6;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;14:00;0,35;0,31;2;12;9;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;6;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;13:00;0,34;0,3;3;12;8;Muy bueno / Oso ona;7,71;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;12:00;0,32;0,29;3;12;7;Muy bueno / Oso ona;7,75;Muy bueno / Oso ona;6,25;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;11:00;0,33;0,28;4;17;10;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;6,46;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;10:00;0,31;0,27;7;20;11;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;09:00;0,3;0,27;3;14;10;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;08:00;0,31;0,27;7;35;24;Muy bueno / Oso ona;8,79;Muy bueno / Oso ona;7,04;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;07:00;0,29;0,26;2;14;11;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;06:00;0,24;0,28;3;15;11;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;05:00;0,31;0,31;1;11;9;Muy bueno / Oso ona;9,13;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;04:00;0,22;0,34;2;12;9;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;03:00;0,21;0,39;1;8;6;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;02:00;0,28;0,42;2;25;23;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/10/2021;01:00;0,34;0,43;11;49;33;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;24:00;0,3;0,44;4;32;25;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;23:00;0,33;0,43;7;38;28;Muy bueno / Oso ona;8,83;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;22:00;0,49;0,44;19;66;36;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;6,46;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;21:00;0,44;0,42;15;65;43;Bueno / Ona;8,33;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Bueno / Ona
30/10/2021;20:00;0,57;0,41;20;81;51;Bueno / Ona;7,96;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Bueno / Ona
30/10/2021;19:00;0,47;0,38;17;74;49;Bueno / Ona;7,92;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
30/10/2021;18:00;0,43;0,38;7;41;31;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;17:00;0,38;0,39;5;25;17;Muy bueno / Oso ona;7,83;Muy bueno / Oso ona;6;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;16:00;0,37;0,43;6;25;15;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;15:00;0,37;0,45;5;18;10;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;14:00;0,35;0,46;7;23;12;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;13:00;0,37;0,45;10;35;20;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;12:00;0,37;0,44;9;32;18;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;11:00;0,38;0,44;10;40;25;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;6,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;10:00;0,46;0,42;13;52;32;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;09:00;0,48;0,4;23;72;37;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;7,58;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;08:00;0,74;0,34;18;69;42;Bueno / Ona;9,08;Muy bueno / Oso ona;7,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
30/10/2021;07:00;0,41;0,32;7;45;35;Muy bueno / Oso ona;9,33;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;06:00;0,4;0,3;18;53;26;Muy bueno / Oso ona;9,54;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;05:00;0,33;0,3;3;17;12;Muy bueno / Oso ona;9,83;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;04:00;0,32;0,31;2;12;9;Muy bueno / Oso ona;10,29;Muy bueno / Oso ona;9,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;03:00;0,29;0,34;1;8;6;Muy bueno / Oso ona;10,63;Muy bueno / Oso ona;9,54;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;02:00;0,29;0,36;1;7;5;Muy bueno / Oso ona;11,17;Muy bueno / Oso ona;9,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
30/10/2021;01:00;0,29;0,38;2;11;7;Muy bueno / Oso ona;11,63;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
29/10/2021;24:00;0,28;0,4;1;7;5;Muy bueno / Oso ona;12,21;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
29/10/2021;23:00;0,3;0,41;2;13;10;Muy bueno / Oso ona;12,63;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
29/10/2021;22:00;0,3;0,42;1;11;9;Muy bueno / Oso ona;12,92;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
29/10/2021;21:00;0,33;0,44;3;25;21;Muy bueno / Oso ona;13,5;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
29/10/2021;20:00;0,44;0,44;4;38;31;Muy bueno / Oso ona;14,08;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
29/10/2021;19:00;0,52;0,43;6;45;36;Muy bueno / Oso ona;14,54;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
29/10/2021;18:00;0,4;0,43;5;33;26;Muy bueno / Oso ona;15,08;Muy bueno / Oso ona;11,13;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;17:00;0,47;0,42;6;42;34;Muy bueno / Oso ona;15,67;Muy bueno / Oso ona;11,21;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;16:00;0,43;0,42;5;31;24;Muy bueno / Oso ona;16,13;Muy bueno / Oso ona;11,38;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;15:00;0,44;0,41;5;27;20;Muy bueno / Oso ona;16,63;Muy bueno / Oso ona;11,58;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;14:00;0,41;0,41;5;29;21;Muy bueno / Oso ona;17,08;Muy bueno / Oso ona;11,71;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;13:00;0,45;0,4;13;56;36;Muy bueno / Oso ona;17,46;Muy bueno / Oso ona;11,75;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;12:00;0,42;0,39;10;52;37;Muy bueno / Oso ona;17,75;Muy bueno / Oso ona;12;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;11:00;0,4;0,38;11;56;40;Muy bueno / Oso ona;18;Muy bueno / Oso ona;12,21;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;10:00;0,41;0,37;13;64;44;Bueno / Ona;18,58;Muy bueno / Oso ona;12,46;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;09:00;0,36;0,36;5;42;35;Muy bueno / Oso ona;20;Muy bueno / Oso ona;13,17;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;08:00;0,43;0,35;5;42;34;Muy bueno / Oso ona;21,04;Bueno / Ona;13,79;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;07:00;0,38;0,34;4;49;43;Bueno / Ona;21,88;Bueno / Ona;14,21;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;06:00;0,4;0,34;4;32;26;Muy bueno / Oso ona;22,33;Bueno / Ona;14,54;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;05:00;0,35;0,33;3;26;22;Muy bueno / Oso ona;22,54;Bueno / Ona;14,79;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;04:00;0,38;0,33;2;14;12;Muy bueno / Oso ona;22,79;Bueno / Ona;15,13;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;03:00;0,31;0,34;1;7;5;Muy bueno / Oso ona;23;Bueno / Ona;15,38;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;02:00;0,3;0,36;1;7;5;Muy bueno / Oso ona;22,88;Bueno / Ona;15,29;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
29/10/2021;01:00;0,3;0,39;1;9;7;Muy bueno / Oso ona;22,58;Bueno / Ona;15,21;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;24:00;0,32;0,4;1;14;13;Muy bueno / Oso ona;22,33;Bueno / Ona;15,33;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;23:00;0,34;0,39;1;20;18;Muy bueno / Oso ona;22,21;Bueno / Ona;15,54;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;22:00;0,33;0,38;3;18;15;Muy bueno / Oso ona;22,25;Bueno / Ona;15,75;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;21:00;0,34;0,36;1;23;21;Muy bueno / Oso ona;22,29;Bueno / Ona;16;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;20:00;0,42;0,34;3;25;22;Muy bueno / Oso ona;22,29;Bueno / Ona;16,17;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;19:00;0,43;0,32;4;36;30;Muy bueno / Oso ona;22;Bueno / Ona;16,17;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;18:00;0,45;0,3;4;40;35;Muy bueno / Oso ona;21,67;Bueno / Ona;16,04;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;17:00;0,48;0,33;5;40;33;Muy bueno / Oso ona;21,25;Bueno / Ona;15,88;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;16:00;0,32;0,39;4;25;19;Muy bueno / Oso ona;;Sin datos / Daturik gabe;15,75;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;15:00;0,28;0,44;4;20;14;Muy bueno / Oso ona;;Sin datos / Daturik gabe;15,79;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;14:00;0,25;0,48;4;16;11;Muy bueno / Oso ona;;Sin datos / Daturik gabe;16,13;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;13:00;0,22;0,51;3;15;10;Muy bueno / Oso ona;21,58;Bueno / Ona;17,04;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;12:00;0,22;0,54;5;23;16;Muy bueno / Oso ona;22,67;Bueno / Ona;18,04;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;11:00;0,24;0,55;12;50;32;Muy bueno / Oso ona;23,75;Bueno / Ona;18,42;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;10:00;0,54;0,55;57;148;62;Bueno / Ona;23,67;Bueno / Ona;18,25;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;09:00;0,7;0,51;130;265;66;Bueno / Ona;22,42;Bueno / Ona;17,58;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;08:00;0,91;0,45;203;383;71;Bueno / Ona;21,42;Bueno / Ona;17,04;Bueno / Ona;6;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;07:00;0,65;0,4;98;206;56;Bueno / Ona;;Sin datos / Daturik gabe;16,67;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;06:00;0,45;0,38;41;99;37;Muy bueno / Oso ona;;Sin datos / Daturik gabe;16,29;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;05:00;0,49;0,39;53;120;40;Muy bueno / Oso ona;;Sin datos / Daturik gabe;15,92;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;04:00;0,36;0,43;17;60;34;Muy bueno / Oso ona;;Sin datos / Daturik gabe;15,71;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;03:00;0,37;0,46;6;41;31;Muy bueno / Oso ona;;Sin datos / Daturik gabe;15,63;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;02:00;0,31;0,47;3;40;37;Muy bueno / Oso ona;19,96;Muy bueno / Oso ona;15,58;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
28/10/2021;01:00;0,33;0,49;4;55;49;Bueno / Ona;19,83;Muy bueno / Oso ona;15,63;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;24:00;0,41;0,49;8;52;40;Muy bueno / Oso ona;19,88;Muy bueno / Oso ona;15,46;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;23:00;0,41;0,46;3;40;35;Muy bueno / Oso ona;19,79;Muy bueno / Oso ona;15,21;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;22:00;0,51;0,45;16;78;54;Bueno / Ona;19,67;Muy bueno / Oso ona;14,96;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;21:00;0,63;0,43;47;144;73;Bueno / Ona;19,33;Muy bueno / Oso ona;14,67;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;20:00;0,63;0,4;18;104;77;Bueno / Ona;19,08;Muy bueno / Oso ona;14,5;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;19:00;0,47;0,39;6;75;67;Bueno / Ona;19,13;Muy bueno / Oso ona;14,33;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;18:00;0,43;0,4;4;50;44;Bueno / Ona;19,17;Muy bueno / Oso ona;14,17;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;17:00;0,44;0,4;12;76;57;Bueno / Ona;19,29;Muy bueno / Oso ona;14,17;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;16:00;0,29;0,41;8;48;36;Muy bueno / Oso ona;19,21;Muy bueno / Oso ona;14,04;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;15:00;0,29;0,42;7;46;35;Muy bueno / Oso ona;19,08;Muy bueno / Oso ona;13,71;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;14:00;0,41;0,43;30;109;64;Bueno / Ona;18,54;Muy bueno / Oso ona;13,13;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;13:00;0,37;0,42;40;120;59;Bueno / Ona;17,33;Muy bueno / Oso ona;12,08;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;12:00;0,43;0,42;58;139;50;Bueno / Ona;15,83;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;11:00;0,51;0,41;66;147;46;Bueno / Ona;14,33;Muy bueno / Oso ona;9,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;10:00;0,49;0,39;51;118;41;Bueno / Ona;14,04;Muy bueno / Oso ona;9,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
27/10/2021;09:00;0,44;0,37;43;104;38;Muy bueno / Oso ona;14,46;Muy bueno / Oso ona;9,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;08:00;0,38;0,36;33;84;34;Muy bueno / Oso ona;14,92;Muy bueno / Oso ona;9,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;07:00;0,41;0,36;39;98;38;Muy bueno / Oso ona;15,29;Muy bueno / Oso ona;9,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;06:00;0,39;0,35;19;66;38;Muy bueno / Oso ona;15,83;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;05:00;0,34;0,36;15;51;29;Muy bueno / Oso ona;16,08;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;04:00;0,39;0,37;7;37;27;Muy bueno / Oso ona;16,04;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;03:00;0,38;0,37;4;26;20;Muy bueno / Oso ona;15,83;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;02:00;0,29;0,38;5;22;15;Muy bueno / Oso ona;16,13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
27/10/2021;01:00;0,31;0,39;1;16;14;Muy bueno / Oso ona;16,33;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Muy bueno / Oso ona
26/10/2021;24:00;0,35;0,39;2;23;21;Muy bueno / Oso ona;16,21;Muy bueno / Oso ona;10;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
26/10/2021;23:00;0,34;0,37;2;26;23;Muy bueno / Oso ona;16,17;Muy bueno / Oso ona;9,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
26/10/2021;22:00;0,45;0,35;11;62;46;Bueno / Ona;16,08;Muy bueno / Oso ona;9,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Bueno / Ona
26/10/2021;21:00;0,41;0,32;5;57;50;Bueno / Ona;16,13;Muy bueno / Oso ona;9,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Bueno / Ona
26/10/2021;20:00;0,44;0,28;6;59;50;Bueno / Ona;16;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Bueno / Ona
26/10/2021;19:00;0,39;0,26;4;41;34;Muy bueno / Oso ona;15,83;Muy bueno / Oso ona;9,46;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
